Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home_game,height_diversity,ethnic_diversity,region_diversity,class_diversity,school_diversity,degree_diversity,experience_with_opponent,experience_in_arena,conference_size,conf_wl,opp_games_played,opponent_win_loss,Coach_Name,Coaching_Years,Coach_Win_Loss_Perc,Coach_NCAA_appear,Team_Comp_Change,Percentage_Dif_Points
1,brown,2006,Northeastern,0,-14,53,67,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,2,12,0.642,31,0.677,Glen Miller,7,0.503,0,0.5556,-0.264150943
2,brown,2006,Birmingham-Southern,0,-1,62,63,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,2,9,0.583,30,0.533,Glen Miller,7,0.503,0,0.5556,-0.016129032
3,brown,2006,Hartford,0,10,70,60,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,9,0.583,28,0.286,Glen Miller,7,0.503,0,0.5556,0.142857143
4,brown,2006,Rhode Island,0,-17,40,57,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,14,0.631,28,0.214,Glen Miller,7,0.503,0,0.5556,-0.425
5,brown,2006,Wagner,0,-13,59,72,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,11,0.64,30,0.433,Glen Miller,7,0.503,0,0.5556,-0.220338983
6,brown,2006,Holy Cross,0,-23,41,64,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,8,0.6,32,0.781,Glen Miller,7,0.503,0,0.5556,-0.56097561
7,brown,2006,Binghamton,0,10,71,61,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,9,0.583,29,0.414,Glen Miller,7,0.503,0,0.5556,0.14084507
8,brown,2006,Maryland-Eastern Shore,0,-2,57,59,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,11,0.64,28,0.071,Glen Miller,7,0.503,0,0.5556,-0.035087719
9,brown,2006,Navy,0,-9,64,73,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,8,0.6,28,0.321,Glen Miller,7,0.503,0,0.5556,-0.140625
10,brown,2006,Albany (NY),0,-15,47,62,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,9,0.583,28,0.464,Glen Miller,7,0.503,0,0.5556,-0.319148936
11,brown,2006,Army,0,2,59,57,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,8,0.6,27,0.111,Glen Miller,7,0.503,0,0.5556,0.033898305
12,brown,2006,Canisius,0,-14,55,69,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,10,0.597,29,0.379,Glen Miller,7,0.503,0,0.5556,-0.254545455
13,brown,2006,Quinnipiac,0,4,64,60,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,11,0.64,27,0.37,Glen Miller,7,0.503,0,0.5556,0.0625
14,brown,2006,Yale,1,-14,61,75,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.407,Glen Miller,7,0.503,0,0.5556,-0.229508197
15,brown,2006,Yale,1,5,67,62,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.407,Glen Miller,7,0.503,0,0.5556,0.074626866
16,brown,2006,Dartmouth,1,3,73,70,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.37,Glen Miller,7,0.503,0,0.5556,0.04109589
17,brown,2006,Harvard,1,-17,58,75,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.444,Glen Miller,7,0.503,0,0.5556,-0.293103448
18,brown,2006,Pennsylvania,1,-17,51,68,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,29,0.69,Glen Miller,7,0.503,0,0.5556,-0.333333333
19,brown,2006,Princeton,1,-15,37,52,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,28,0.536,Glen Miller,7,0.503,0,0.5556,-0.405405405
20,brown,2006,Cornell,1,-4,59,63,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.481,Glen Miller,7,0.503,0,0.5556,-0.06779661
21,brown,2006,Columbia,1,11,86,75,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.444,Glen Miller,7,0.503,0,0.5556,0.127906977
22,brown,2006,Harvard,1,13,79,66,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.444,Glen Miller,7,0.503,0,0.5556,0.164556962
