Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home game,height diversity,ethnic diversity,region diversity,class diversity,school diversity,degree diversity,experience with opponent,experience in arena,conference size,conf_wl,opp_games_played,opponent win:loss
1,brown,2006,Northeastern,0,-14,53,67,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,2,12,0.642,31,0.677
2,brown,2006,Birmingham-Southern,0,-1,62,63,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,2,9,0.583,30,0.533
3,brown,2006,Hartford,0,10,70,60,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,9,0.583,28,0.286
4,brown,2006,Rhode Island,0,-17,40,57,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,14,0.631,28,0.214
5,brown,2006,Wagner,0,-13,59,72,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,11,0.64,30,0.433
6,brown,2006,Holy Cross,0,-23,41,64,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,8,0.6,32,0.781
7,brown,2006,Binghamton,0,10,71,61,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,9,0.583,29,0.414
8,brown,2006,Maryland-Eastern Shore,0,-2,57,59,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,11,0.64,28,0.071
9,brown,2006,Navy,0,-9,64,73,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,8,0.6,28,0.321
10,brown,2006,Albany (NY),0,-15,47,62,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,9,0.583,28,0.464
11,brown,2006,Army,0,2,59,57,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,8,0.6,27,0.111
12,brown,2006,Canisius,0,-14,55,69,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,12,10,0.597,29,0.379
13,brown,2006,Quinnipiac,0,4,64,60,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,1,1,11,0.64,27,0.37
14,brown,2006,Yale,1,-14,61,75,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.407
15,brown,2006,Yale,1,5,67,62,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.407
16,brown,2006,Dartmouth,1,3,73,70,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.37
17,brown,2006,Harvard,1,-17,58,75,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.444
18,brown,2006,Pennsylvania,1,-17,51,68,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,29,0.69
19,brown,2006,Princeton,1,-15,37,52,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,28,0.536
20,brown,2006,Cornell,1,-4,59,63,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.481
21,brown,2006,Columbia,1,11,86,75,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,27,0.444
22,brown,2006,Harvard,1,13,79,66,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.444
23,brown,2006,Dartmouth,1,-12,46,58,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.37
24,brown,2006,Columbia,1,-12,56,68,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.444
25,brown,2006,Cornell,1,5,69,64,0,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,1,8,0.6,27,0.481
26,brown,2006,Princeton,1,15,61,46,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,28,0.536
27,brown,2006,Pennsylvania,1,-6,68,74,1,0.142011834,0.650887574,0.662721893,0.26035503,0.426035503,0.698224852,2,12,8,0.6,29,0.69
1,brown,2007,Michigan State,0,-11,34,45,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,2,11,0.64,34,0.647
2,brown,2007,Central Michigan,0,-13,58,71,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,2,12,0.642,28,0.143
3,brown,2007,Navy,0,-23,47,70,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,8,0.6,28,0.357
4,brown,2007,Providence,0,10,51,41,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,16,0.626,27,0.444
5,brown,2007,Northwestern,0,-24,40,64,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,11,0.64,29,0.483
6,brown,2007,Army,0,-8,54,62,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,10,8,0.6,27,0.185
7,brown,2007,Wagner,0,5,66,61,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,11,0.64,27,0.481
8,brown,2007,Quinnipiac,0,6,80,74,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,10,11,0.64,28,0.429
9,brown,2007,Rhode Island,0,-4,68,72,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,14,0.631,28,0.5
10,brown,2007,Albany (NY),0,-10,52,62,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,9,0.583,32,0.656
